compressed_delta	uncompressed_delta	entry	kind
2401352	2401352	classes*.dex	changed
6280	6280	resources.arsc	changed
940	5796	AndroidManifest.xml	changed
833	2012	res/drawable/ic_calculator_glyph.xml	new
634	2176	res/xml/shortcuts_calculator.xml	new
611	1300	res/drawable/ic_recorder_glyph.xml	new
605	2064	res/xml/shortcuts_clock.xml	new
548	1408	res/xml/shortcuts_recorder.xml	new
404	736	res/drawable/ic_alarm.xml	new
375	700	res/drawable/ic_timer.xml	new
294	736	res/drawable/ic_recorder.xml	new
292	736	res/drawable/ic_calculator.xml	new
-1	0	res/drawable/notification_tile_bg.xml	changed
-1	0	res/drawable/notification_bg.xml	changed
