+24s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+25s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+26s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+27s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+29s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+30s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+31s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+32s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+34s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+35s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+36s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+37s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+38s AudioPlaybackConfiguration piid:3503 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3857 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
