+0s AudioPlaybackConfiguration piid:3463 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:paused attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3817 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+0s AudioPlaybackConfiguration piid:3471 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3825 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+1s AudioPlaybackConfiguration piid:3463 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:paused attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3817 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+1s AudioPlaybackConfiguration piid:3471 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:idle attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3825 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+3s AudioPlaybackConfiguration piid:3463 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:paused attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3817 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+3s AudioPlaybackConfiguration piid:3471 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3825 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+4s AudioPlaybackConfiguration piid:3463 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:paused attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3817 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
+4s AudioPlaybackConfiguration piid:3471 deviceIds:[2] type:android.media.AudioTrack u/pid:10150/18277 state:started attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3825 mutedState:streamVolume portVolume  FormatInfo{isSpatialized=false, channelMask=0x1, sampleRate=24000}
+5s AudioPlaybackConfiguration piid:3463 deviceIds:[] type:android.media.AudioTrack u/pid:10150/18277 state:paused attr:AudioAttributes: usage=USAGE_ASSISTANT content=CONTENT_TYPE_SPEECH flags=0x800 tags= bundle=null sessionId:3817 mutedState:none  FormatInfo{isSpatialized=false, channelMask=0x0, sampleRate=0}
